,respondent_id,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range,age_group,cf_ab_score,zas_score,bsi
3863,R03862,M,Urban,Student,None,3-4 times,Newcomer,Large (1 L),0 to 1,Price,Exotic,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),50-100,18-25,1.5,,1
3864,R03863,F,Metro,Retired,16L - 25L,3-4 times,Established,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Online,Simple,Low (Not very concerned),Social (eg. Parties),150-200,56-70,1.5,3.5,0
3865,R03864,M,Semi-Urban,Working Professional,<10L,0-2 times,Established,Small (250 ml),2 to 4,Price,Traditional,Retail Store,Simple,Low (Not very concerned),Social (eg. Parties),100-150,46-55,1.5,1.5,0
3866,R03865,F,Urban,Working Professional,<10L,3-4 times,Established,Medium (500 ml),2 to 4,Availability,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,26-35,2.0,2.0,0
3867,R03866,F,Rural,Student,None,3-4 times,Newcomer,Small (250 ml),2 to 4,Price,Traditional,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",50-100,18-25,2.0,,1
3868,R03867,M,Semi-Urban,Working Professional,16L - 25L,3-4 times,Established,Medium (500 ml),0 to 1,Quality,Traditional,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,26-35,1.5,2.5,0
3869,R03868,M,Urban,Student,None,0-2 times,Established,Small (250 ml),0 to 1,Price,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",50-100,18-25,1.0,,0
3870,R03869,F,Urban,Student,None,3-4 times,Established,Medium (500 ml),0 to 1,Availability,Traditional,Online,Simple,Low (Not very concerned),Social (eg. Parties),50-100,18-25,1.5,,0
3871,R03870,M,Rural,Working Professional,> 35L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),200-250,46-55,2.5,3.0,1
3872,R03871,M,Metro,Retired,10L - 15L,3-4 times,Established,Small (250 ml),2 to 4,Availability,Traditional,Online,Premium,Low (Not very concerned),Casual (eg. At home),150-200,56-70,2.0,3.0,0
3873,R03872,F,Metro,Student,None,5-7 times,Newcomer,Medium (500 ml),above 4,Price,Exotic,Online,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,18-25,3.0,,1
3874,R03873,M,Urban,Entrepreneur,10L - 15L,3-4 times,Established,Medium (500 ml),2 to 4,Price,Traditional,Retail Store,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,36-45,2.0,2.5,0
3875,R03874,F,Urban,Entrepreneur,16L - 25L,0-2 times,Newcomer,Medium (500 ml),above 4,Brand Reputation,Exotic,Retail Store,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,18-25,2.0,3.0,0
3876,R03875,F,Urban,Working Professional,10L - 15L,5-7 times,Established,Medium (500 ml),above 4,Price,Traditional,Online,Simple,Low (Not very concerned),Social (eg. Parties),150-200,46-55,3.0,2.5,0
3877,R03876,F,Urban,Working Professional,> 35L,5-7 times,Established,Medium (500 ml),2 to 4,Quality,Exotic,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,26-35,2.5,4.0,0
3878,R03877,F,Metro,Working Professional,<10L,3-4 times,Newcomer,Small (250 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),100-150,26-35,1.5,2.5,1
3879,R03878,M,Urban,Entrepreneur,16L - 25L,0-2 times,Newcomer,Medium (500 ml),2 to 4,Availability,Exotic,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,46-55,1.5,3.0,0
3880,R03879,M,Semi-Urban,Working Professional,10L - 15L,5-7 times,Newcomer,Small (250 ml),above 4,Availability,Traditional,Retail Store,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,26-35,3.0,2.0,0
3881,R03880,M,Semi-Urban,Student,None,5-7 times,Newcomer,Small (250 ml),2 to 4,Price,Traditional,Retail Store,Eco-Friendly,High (Very health-conscious),Casual (eg. At home),100-150,18-25,2.5,,1
3882,R03881,M,Semi-Urban,Working Professional,16L - 25L,5-7 times,Established,Large (1 L),0 to 1,Brand Reputation,Traditional,Retail Store,Simple,Low (Not very concerned),Social (eg. Parties),100-150,26-35,2.0,2.5,0
3883,R03882,F,Urban,Entrepreneur,16L - 25L,3-4 times,Newcomer,Medium (500 ml),above 4,Brand Reputation,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),200-250,36-45,2.5,3.0,0
3884,R03883,F,Urban,Student,None,3-4 times,Newcomer,Small (250 ml),0 to 1,Price,Exotic,Online,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",100-150,18-25,1.5,,1
3885,R03884,M,Urban,Student,None,0-2 times,Newcomer,Small (250 ml),2 to 4,Availability,Traditional,Retail Store,Eco-Friendly,Low (Not very concerned),Social (eg. Parties),50-100,18-25,1.5,,0
3886,R03885,F,Metro,Student,None,3-4 times,Newcomer,Medium (500 ml),0 to 1,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",50-100,18-25,1.5,,1
3887,R03886,F,Semi-Urban,Entrepreneur,10L - 15L,5-7 times,Newcomer,Medium (500 ml),0 to 1,Availability,Traditional,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,26-35,2.0,2.0,0
3888,R03887,F,Metro,Student,None,5-7 times,Newcomer,Small (250 ml),above 4,Price,Traditional,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,18-25,3.0,,1
3889,R03888,F,Urban,Working Professional,26L - 35L,5-7 times,Newcomer,Large (1 L),above 4,Quality,Exotic,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,3.0,3.5,1
3890,R03889,F,Urban,Student,None,3-4 times,Newcomer,Small (250 ml),2 to 4,Price,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,26-35,2.0,,1
3891,R03890,F,Metro,Retired,10L - 15L,0-2 times,Established,Medium (500 ml),0 to 1,Price,Exotic,Retail Store,Eco-Friendly,High (Very health-conscious),Social (eg. Parties),100-150,56-70,1.0,3.0,0
3892,R03891,F,Urban,Working Professional,<10L,3-4 times,Established,Small (250 ml),2 to 4,Price,Exotic,Online,Simple,Low (Not very concerned),Casual (eg. At home),150-200,26-35,2.0,2.0,0
3893,R03892,M,Metro,Working Professional,> 35L,5-7 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Casual (eg. At home),200-250,26-35,2.5,4.5,0
3894,R03893,F,Metro,Entrepreneur,16L - 25L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Brand Reputation,Traditional,Online,Premium,Low (Not very concerned),Social (eg. Parties),200-250,36-45,2.5,3.5,0
3895,R03894,F,Metro,Working Professional,<10L,5-7 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Online,Simple,High (Very health-conscious),Social (eg. Parties),150-200,18-25,2.0,2.5,0
3896,R03895,M,Urban,Working Professional,16L - 25L,3-4 times,Established,Large (1 L),above 4,Quality,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,36-45,2.5,3.0,0
3897,R03896,F,Metro,Student,None,5-7 times,Established,Large (1 L),0 to 1,Price,Traditional,Online,Simple,Low (Not very concerned),Social (eg. Parties),50-100,18-25,2.0,,0
3898,R03897,F,Semi-Urban,Student,None,0-2 times,Established,Small (250 ml),2 to 4,Price,Exotic,Online,Premium,High (Very health-conscious),Casual (eg. At home),100-150,18-25,1.5,,0
3899,R03898,M,Urban,Entrepreneur,10L - 15L,3-4 times,Newcomer,Large (1 L),above 4,Price,Exotic,Online,Simple,High (Very health-conscious),Social (eg. Parties),200-250,36-45,2.5,2.5,1
3900,R03899,F,Semi-Urban,Working Professional,10L - 15L,5-7 times,Established,Large (1 L),0 to 1,Availability,Traditional,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Casual (eg. At home),100-150,26-35,2.0,2.0,0
3901,R03900,M,Metro,Working Professional,16L - 25L,5-7 times,Newcomer,Large (1 L),0 to 1,Brand Reputation,Exotic,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,36-45,2.0,3.5,0
3902,R03901,M,Rural,Working Professional,<10L,0-2 times,Established,Medium (500 ml),2 to 4,Price,Exotic,Retail Store,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",100-150,26-35,1.5,1.0,0
3903,R03902,F,Rural,Working Professional,> 35L,5-7 times,Established,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Retail Store,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,36-45,2.0,3.0,0
3904,R03903,F,Metro,Student,None,3-4 times,Established,Large (1 L),0 to 1,Price,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),100-150,18-25,1.5,,0
3905,R03904,F,Urban,Working Professional,26L - 35L,3-4 times,Newcomer,Small (250 ml),2 to 4,Brand Reputation,Exotic,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),200-250,26-35,2.0,3.5,0
3906,R03905,F,Metro,Entrepreneur,10L - 15L,3-4 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,36-45,2.0,3.0,1
3907,R03906,M,Urban,Working Professional,<10L,3-4 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Online,Simple,High (Very health-conscious),Casual (eg. At home),150-200,18-25,1.5,2.0,0
3908,R03907,F,Metro,Student,None,3-4 times,Newcomer,Medium (500 ml),0 to 1,Availability,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),100-150,26-35,1.5,,0
3909,R03908,F,Metro,Working Professional,<10L,5-7 times,Newcomer,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,46-55,2.0,2.5,1
3910,R03909,F,Rural,Working Professional,10L - 15L,0-2 times,Established,Medium (500 ml),2 to 4,Price,Traditional,Retail Store,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,36-45,1.5,1.5,0
3911,R03910,F,Semi-Urban,Working Professional,<10L,5-7 times,Established,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),150-200,36-45,2.0,1.5,0
3912,R03911,M,Urban,Working Professional,<10L,0-2 times,Established,Small (250 ml),2 to 4,Price,Exotic,Retail Store,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,1.5,2.0,0
3913,R03912,F,Rural,Working Professional,16L - 25L,3-4 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Retail Store,Simple,Low (Not very concerned),Social (eg. Parties),150-200,26-35,2.0,2.0,0
3914,R03913,M,Semi-Urban,Retired,10L - 15L,0-2 times,Established,Medium (500 ml),2 to 4,Price,Traditional,Retail Store,Simple,Low (Not very concerned),Casual (eg. At home),50-100,56-70,1.5,2.0,0
3915,R03914,M,Urban,Entrepreneur,10L - 15L,3-4 times,Established,Small (250 ml),0 to 1,Availability,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Casual (eg. At home),150-200,46-55,1.5,2.5,0
3916,R03915,F,Metro,Working Professional,26L - 35L,3-4 times,Established,Medium (500 ml),2 to 4,Quality,Traditional,Retail Store,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,46-55,2.0,4.0,0
3917,R03916,M,Metro,Working Professional,10L - 15L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Availability,Exotic,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),200-250,36-45,2.5,3.0,0
3918,R03917,M,Semi-Urban,Student,None,5-7 times,Newcomer,Small (250 ml),2 to 4,Price,Traditional,Retail Store,Simple,Low (Not very concerned),Social (eg. Parties),50-100,18-25,2.5,,1
3919,R03918,F,Rural,Working Professional,26L - 35L,3-4 times,Established,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),200-250,36-45,1.5,2.5,0
3920,R03919,M,Metro,Working Professional,10L - 15L,3-4 times,Established,Large (1 L),0 to 1,Availability,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),150-200,36-45,1.5,3.0,0
3921,R03920,M,Semi-Urban,Working Professional,26L - 35L,0-2 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,26-35,1.0,3.0,1
3922,R03921,F,Urban,Entrepreneur,26L - 35L,0-2 times,Established,Small (250 ml),2 to 4,Quality,Traditional,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,36-45,1.5,3.5,0
3923,R03922,M,Urban,Working Professional,16L - 25L,0-2 times,Established,Large (1 L),above 4,Brand Reputation,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Casual (eg. At home),150-200,36-45,2.0,3.0,0
3924,R03923,M,Rural,Student,None,3-4 times,Established,Small (250 ml),0 to 1,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),50-100,18-25,1.5,,0
3925,R03924,F,Metro,Entrepreneur,10L - 15L,5-7 times,Established,Small (250 ml),above 4,Price,Exotic,Online,Simple,High (Very health-conscious),Social (eg. Parties),200-250,26-35,3.0,3.0,0
3926,R03925,F,Metro,Working Professional,10L - 15L,5-7 times,Established,Medium (500 ml),0 to 1,Availability,Traditional,Online,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,36-45,2.0,3.0,0
3927,R03926,F,Metro,Student,None,0-2 times,Newcomer,Medium (500 ml),0 to 1,Price,Traditional,Online,Eco-Friendly,Low (Not very concerned),"Active (eg. Sports, gym)",50-100,26-35,1.0,,1
3928,R03927,M,Metro,Entrepreneur,10L - 15L,0-2 times,Newcomer,Small (250 ml),above 4,Price,Exotic,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),200-250,56-70,2.0,3.0,1
3929,R03928,M,Metro,Entrepreneur,<10L,5-7 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),200-250,46-55,2.0,2.5,1
3930,R03929,M,Metro,Entrepreneur,10L - 15L,5-7 times,Established,Medium (500 ml),2 to 4,Availability,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,46-55,2.5,3.0,0
3931,R03930,F,Metro,Working Professional,10L - 15L,3-4 times,Newcomer,Medium (500 ml),2 to 4,Availability,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),Casual (eg. At home),150-200,36-45,2.0,3.0,0
3932,R03931,M,Urban,Student,None,3-4 times,Established,Medium (500 ml),0 to 1,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),100-150,18-25,1.5,,0
3933,R03932,F,Semi-Urban,Working Professional,16L - 25L,5-7 times,Established,Medium (500 ml),0 to 1,Quality,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,36-45,2.0,2.5,0
3934,R03933,F,Metro,Entrepreneur,26L - 35L,3-4 times,Established,Large (1 L),above 4,Quality,Traditional,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),200-250,36-45,2.5,4.0,0
3935,R03934,M,Metro,Retired,16L - 25L,3-4 times,Established,Medium (500 ml),2 to 4,Quality,Traditional,Retail Store,Simple,High (Very health-conscious),Social (eg. Parties),200-250,56-70,2.0,3.5,0
3936,R03935,M,Urban,Entrepreneur,16L - 25L,5-7 times,Newcomer,Medium (500 ml),0 to 1,Quality,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,46-55,2.0,3.0,1
3937,R03936,F,Metro,Retired,16L - 25L,3-4 times,Established,Small (250 ml),0 to 1,Quality,Exotic,Online,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,56-70,1.5,3.5,0
3938,R03937,F,Rural,Working Professional,10L - 15L,0-2 times,Newcomer,Small (250 ml),0 to 1,Price,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,36-45,1.0,1.5,1
3939,R03938,M,Urban,Working Professional,10L - 15L,3-4 times,Newcomer,Large (1 L),2 to 4,Price,Exotic,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,26-35,2.0,2.5,1
3940,R03939,M,Metro,Working Professional,<10L,0-2 times,Newcomer,Medium (500 ml),0 to 1,Price,Exotic,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),150-200,36-45,1.0,2.5,1
3941,R03940,M,Metro,Working Professional,> 35L,3-4 times,Established,Medium (500 ml),2 to 4,Quality,Exotic,Online,Premium,Low (Not very concerned),"Active (eg. Sports, gym)",200-250,26-35,2.0,4.5,0
3942,R03941,F,Metro,Entrepreneur,<10L,3-4 times,Established,Large (1 L),2 to 4,Availability,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",150-200,26-35,2.0,2.5,0
3943,R03942,F,Urban,Student,None,5-7 times,Established,Small (250 ml),2 to 4,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),100-150,18-25,2.5,,0
3944,R03943,M,Metro,Entrepreneur,26L - 35L,5-7 times,Established,Medium (500 ml),above 4,Brand Reputation,Exotic,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),200-250,26-35,3.0,4.0,0
3945,R03944,F,Metro,Working Professional,26L - 35L,5-7 times,Newcomer,Medium (500 ml),0 to 1,Brand Reputation,Traditional,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,2.0,4.0,0
3946,R03945,M,Semi-Urban,Working Professional,<10L,5-7 times,Established,Small (250 ml),0 to 1,Availability,Traditional,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),100-150,36-45,2.0,1.5,0
3947,R03946,M,Metro,Working Professional,10L - 15L,0-2 times,Established,Medium (500 ml),above 4,Availability,Exotic,Online,Eco-Friendly,High (Very health-conscious),Casual (eg. At home),150-200,36-45,2.0,3.0,0
3948,R03947,M,Metro,Student,None,0-2 times,Newcomer,Small (250 ml),0 to 1,Price,Traditional,Online,Simple,Low (Not very concerned),Social (eg. Parties),50-100,18-25,1.0,,1
3949,R03948,M,Metro,Entrepreneur,26L - 35L,0-2 times,Newcomer,Small (250 ml),2 to 4,Quality,Exotic,Retail Store,Premium,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,36-45,1.5,4.0,1
3950,R03949,F,Semi-Urban,Student,None,3-4 times,Established,Medium (500 ml),0 to 1,Availability,Exotic,Retail Store,Premium,Low (Not very concerned),Social (eg. Parties),50-100,18-25,1.5,,0
3951,R03950,M,Urban,Working Professional,<10L,3-4 times,Newcomer,Small (250 ml),0 to 1,Availability,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),100-150,26-35,1.5,2.0,0
3952,R03951,M,Metro,Working Professional,<10L,0-2 times,Newcomer,Small (250 ml),above 4,Price,Traditional,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,36-45,2.0,2.5,1
3953,R03952,M,Semi-Urban,Working Professional,16L - 25L,5-7 times,Established,Medium (500 ml),0 to 1,Brand Reputation,Exotic,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),200-250,26-35,2.0,2.5,0
3954,R03953,M,Metro,Working Professional,10L - 15L,3-4 times,Established,Medium (500 ml),2 to 4,Price,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),150-200,18-25,2.0,3.0,0
3955,R03954,M,Urban,Working Professional,> 35L,5-7 times,Established,Large (1 L),above 4,Quality,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",200-250,26-35,3.0,4.0,0
3956,R03955,F,Urban,Working Professional,26L - 35L,3-4 times,Newcomer,Medium (500 ml),2 to 4,Brand Reputation,Traditional,Online,Simple,High (Very health-conscious),Casual (eg. At home),200-250,26-35,2.0,3.5,0
3957,R03956,M,Urban,Working Professional,<10L,5-7 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),150-200,18-25,2.0,2.0,1
3958,R03957,M,Metro,Student,None,5-7 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,18-25,2.5,,1
3959,R03958,F,Metro,Entrepreneur,10L - 15L,0-2 times,Established,Small (250 ml),above 4,Availability,Exotic,Retail Store,Eco-Friendly,Medium (Moderately health-conscious),Casual (eg. At home),150-200,26-35,2.0,3.0,0
3960,R03959,M,Semi-Urban,Working Professional,26L - 35L,5-7 times,Newcomer,Medium (500 ml),2 to 4,Price,Traditional,Online,Simple,High (Very health-conscious),Casual (eg. At home),200-250,26-35,2.5,3.0,1
3961,R03960,M,Metro,Student,None,3-4 times,Established,Large (1 L),0 to 1,Availability,Exotic,Online,Eco-Friendly,High (Very health-conscious),Social (eg. Parties),100-150,18-25,1.5,,0
3962,R03961,F,Metro,Student,None,0-2 times,Newcomer,Small (250 ml),above 4,Price,Traditional,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,2.0,,1
3963,R03962,M,Metro,Working Professional,10L - 15L,3-4 times,Established,Medium (500 ml),2 to 4,Price,Traditional,Retail Store,Simple,Low (Not very concerned),Casual (eg. At home),150-200,26-35,2.0,3.0,0
3964,R03963,F,Urban,Working Professional,10L - 15L,5-7 times,Established,Medium (500 ml),2 to 4,Price,Traditional,Online,Eco-Friendly,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",150-200,36-45,2.5,2.5,0
3965,R03964,M,Metro,Entrepreneur,<10L,0-2 times,Newcomer,Large (1 L),0 to 1,Price,Traditional,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",100-150,36-45,1.0,2.5,1
3966,R03965,F,Semi-Urban,Working Professional,> 35L,5-7 times,Established,Small (250 ml),0 to 1,Quality,Traditional,Online,Simple,Medium (Moderately health-conscious),Casual (eg. At home),200-250,46-55,2.0,3.5,0
3967,R03966,M,Urban,Student,None,0-2 times,Established,Medium (500 ml),above 4,Price,Traditional,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,26-35,2.0,,0
3968,R03967,F,Urban,Working Professional,26L - 35L,5-7 times,Established,Medium (500 ml),0 to 1,Quality,Exotic,Online,Premium,Medium (Moderately health-conscious),Social (eg. Parties),200-250,36-45,2.0,3.5,0
3969,R03968,F,Semi-Urban,Working Professional,10L - 15L,5-7 times,Newcomer,Small (250 ml),2 to 4,Price,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Social (eg. Parties),150-200,36-45,2.5,2.0,1
3970,R03969,M,Metro,Working Professional,16L - 25L,3-4 times,Newcomer,Small (250 ml),above 4,Brand Reputation,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),150-200,26-35,2.5,3.5,0
3971,R03970,F,Urban,Student,None,0-2 times,Established,Small (250 ml),0 to 1,Price,Traditional,Online,Simple,High (Very health-conscious),Casual (eg. At home),100-150,18-25,1.0,,0
3972,R03971,F,Urban,Working Professional,16L - 25L,3-4 times,Established,Small (250 ml),2 to 4,Brand Reputation,Exotic,Online,Eco-Friendly,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,36-45,2.0,3.0,0
3973,R03972,M,Semi-Urban,Working Professional,26L - 35L,0-2 times,Established,Large (1 L),2 to 4,Brand Reputation,Exotic,Online,Premium,Medium (Moderately health-conscious),Casual (eg. At home),200-250,26-35,1.5,3.0,0
3974,R03973,F,Metro,Student,None,0-2 times,Newcomer,Medium (500 ml),above 4,Price,Traditional,Online,Eco-Friendly,High (Very health-conscious),Casual (eg. At home),100-150,18-25,2.0,,1
3975,R03974,M,Urban,Working Professional,16L - 25L,5-7 times,Newcomer,Medium (500 ml),above 4,Brand Reputation,Traditional,Retail Store,Premium,Low (Not very concerned),Casual (eg. At home),200-250,46-55,3.0,3.0,0
3976,R03975,M,Urban,Working Professional,10L - 15L,3-4 times,Established,Small (250 ml),above 4,Price,Exotic,Online,Simple,Low (Not very concerned),Casual (eg. At home),150-200,36-45,2.5,2.5,0
3977,R03976,M,Metro,Student,None,5-7 times,Newcomer,Medium (500 ml),0 to 1,Availability,Exotic,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",100-150,18-25,2.0,,0
3978,R03977,M,Urban,Student,None,0-2 times,Newcomer,Large (1 L),2 to 4,Price,Exotic,Online,Simple,Low (Not very concerned),"Active (eg. Sports, gym)",50-100,18-25,1.5,,1
3979,R03978,F,Metro,Working Professional,26L - 35L,0-2 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Online,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,46-55,1.5,4.0,0
3980,R03979,M,Metro,Working Professional,16L - 25L,5-7 times,Established,Medium (500 ml),2 to 4,Brand Reputation,Exotic,Online,Premium,High (Very health-conscious),Social (eg. Parties),200-250,26-35,2.5,3.5,0
3981,R03980,M,Metro,Working Professional,26L - 35L,5-7 times,Established,Large (1 L),2 to 4,Quality,Exotic,Online,Premium,High (Very health-conscious),"Active (eg. Sports, gym)",200-250,26-35,2.5,4.0,0
3982,R03981,M,Metro,Entrepreneur,26L - 35L,0-2 times,Established,Medium (500 ml),above 4,Brand Reputation,Traditional,Online,Premium,High (Very health-conscious),Casual (eg. At home),200-250,36-45,2.0,4.0,0
3983,R03982,M,Urban,Working Professional,> 35L,5-7 times,Established,Small (250 ml),above 4,Quality,Traditional,Online,Eco-Friendly,High (Very health-conscious),Casual (eg. At home),200-250,46-55,3.0,4.0,0
3984,R03983,M,Semi-Urban,Student,None,3-4 times,Established,Small (250 ml),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),Casual (eg. At home),100-150,18-25,1.5,,0
3985,R03984,F,Semi-Urban,Working Professional,16L - 25L,0-2 times,Established,Small (250 ml),0 to 1,Brand Reputation,Traditional,Retail Store,Simple,Medium (Moderately health-conscious),Casual (eg. At home),100-150,26-35,1.0,2.5,0
3986,R03985,F,Metro,Entrepreneur,> 35L,3-4 times,Established,Medium (500 ml),above 4,Brand Reputation,Traditional,Retail Store,Premium,High (Very health-conscious),Casual (eg. At home),200-250,36-45,2.5,4.5,0
3987,R03986,F,Semi-Urban,Working Professional,<10L,5-7 times,Established,Large (1 L),0 to 1,Price,Traditional,Retail Store,Simple,High (Very health-conscious),"Active (eg. Sports, gym)",150-200,36-45,2.0,1.5,0
3988,R03987,M,Rural,Working Professional,16L - 25L,5-7 times,Newcomer,Medium (500 ml),above 4,Availability,Exotic,Retail Store,Simple,Medium (Moderately health-conscious),Casual (eg. At home),150-200,18-25,3.0,2.0,0
3989,R03988,F,Urban,Entrepreneur,16L - 25L,5-7 times,Established,Small (250 ml),2 to 4,Quality,Exotic,Online,Simple,Medium (Moderately health-conscious),Social (eg. Parties),200-250,36-45,2.5,3.0,0
3990,R03989,F,Urban,Student,None,3-4 times,Newcomer,Large (1 L),0 to 1,Availability,Traditional,Online,Simple,Medium (Moderately health-conscious),"Active (eg. Sports, gym)",50-100,26-35,1.5,,0
3991,R03990,M,Urban,Working Professional,16L - 25L,3-4 times,Established,Large (1 L),2 to 4,Quality,Traditional,Online,Simple,High (Very health-conscious),Social (eg. Parties),200-250,18-25,2.0,3.0,0
