respondent_id,age,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range
r07214,48,f,semi-urban,working professional,16l - 25l,3-4 times,established,small (250 ml),0 to 1,quality,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r07215,20,f,semi-urban,student,none,3-4 times,established,large (1 l),0 to 1,price,traditional,retail store,premium,low (not very concerned),casual (eg. at home),50-100
r07216,45,m,urban,entrepreneur,26l - 35l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r07217,18,m,urban,student,none,0-2 times,established,small (250 ml),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r07218,33,m,urban,working professional,> 35l,5-7 times,established,large (1 l),2 to 4,brand reputation,traditional,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r07219,35,f,metro,working professional,<10l,5-7 times,newcomer,medium (500 ml),0 to 1,availability,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r07220,28,m,urban,entrepreneur,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,quality,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07221,20,f,metro,student,none,3-4 times,newcomer,small (250 ml),0 to 1,availability,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r07222,25,m,semi-urban,student,none,5-7 times,established,small (250 ml),2 to 4,price,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r07223,32,m,urban,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),2 to 4,availability,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r07224,33,m,semi-urban,entrepreneur,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r07225,19,m,urban,student,none,5-7 times,established,large (1 l),0 to 1,availability,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r07226,22,f,semi-urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),2 to 4,price,traditional,retail store,premium,medium (moderately health-conscious),social (eg. parties),100-150
r07227,32,f,metro,working professional,10l - 15l,3-4 times,established,large (1 l),2 to 4,availability,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r07228,21,f,rural,student,none,3-4 times,established,medium (500 ml),0 to 1,price,traditional,online,simple,low (not very concerned),social (eg. parties),50-100
r07229,31,f,metro,entrepreneur,10l - 15l,0-2 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r07230,32,m,urban,working professional,16l - 25l,5-7 times,newcomer,large (1 l),above 4,brand reputation,traditional,retail store,premium,medium (moderately health-conscious),social (eg. parties),200-250
r07231,38,f,metro,working professional,10l - 15l,5-7 times,newcomer,small (250 ml),2 to 4,price,exotic,online,premium,high (very health-conscious),social (eg. parties),200-250
r07232,41,m,urban,working professional,<10l,3-4 times,established,medium (500 ml),0 to 1,availability,traditional,online,premium,low (not very concerned),social (eg. parties),100-150
r07233,62,f,semi-urban,entrepreneur,10l - 15l,3-4 times,established,large (1 l),above 4,price,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r07234,69,m,urban,retired,<10l,3-4 times,established,large (1 l),2 to 4,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),150-200
r07235,25,f,urban,entrepreneur,10l - 15l,5-7 times,established,medium (500 ml),2 to 4,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),150-200
r07236,35,m,semi-urban,working professional,10l - 15l,5-7 times,newcomer,small (250 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r07237,22,f,metro,student,none,5-7 times,established,small (250 ml),0 to 1,availability,traditional,online,simple,high (very health-conscious),social (eg. parties),100-150
r07238,38,m,urban,entrepreneur,16l - 25l,5-7 times,newcomer,medium (500 ml),above 4,brand reputation,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07239,31,m,metro,working professional,10l - 15l,0-2 times,established,medium (500 ml),above 4,price,exotic,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r07240,38,m,semi-urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,medium (moderately health-conscious),social (eg. parties),150-200
r07241,23,m,urban,student,none,3-4 times,established,medium (500 ml),2 to 4,price,traditional,online,simple,low (not very concerned),social (eg. parties),100-150
r07242,20,f,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r07243,51,m,metro,working professional,16l - 25l,3-4 times,established,medium (500 ml),0 to 1,brand reputation,exotic,online,premium,high (very health-conscious),casual (eg. at home),200-250
r07244,19,f,semi-urban,working professional,16l - 25l,0-2 times,established,small (250 ml),0 to 1,brand reputation,traditional,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07245,21,m,urban,working professional,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,quality,exotic,online,premium,high (very health-conscious),social (eg. parties),200-250
r07246,24,m,urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),2 to 4,brand reputation,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r07247,42,f,metro,entrepreneur,> 35l,5-7 times,newcomer,medium (500 ml),above 4,brand reputation,traditional,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r07248,30,f,urban,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",100-150
r07249,30,m,urban,entrepreneur,16l - 25l,0-2 times,established,large (1 l),2 to 4,brand reputation,exotic,online,premium,low (not very concerned),casual (eg. at home),150-200
r07250,66,m,urban,retired,<10l,3-4 times,newcomer,small (250 ml),above 4,price,traditional,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),200-250
r07251,34,m,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r07252,51,m,urban,working professional,10l - 15l,0-2 times,newcomer,medium (500 ml),above 4,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r07253,21,m,urban,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r07254,31,m,metro,working professional,> 35l,0-2 times,established,medium (500 ml),2 to 4,quality,exotic,online,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r07255,42,f,metro,entrepreneur,16l - 25l,0-2 times,newcomer,small (250 ml),above 4,quality,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r07256,22,f,metro,student,none,5-7 times,newcomer,large (1 l),0 to 1,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),150-200
r07257,23,m,metro,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r07258,23,f,metro,student,none,5-7 times,established,medium (500 ml),2 to 4,price,traditional,retail store,simple,low (not very concerned),social (eg. parties),100-150
r07259,27,f,metro,working professional,<10l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07260,34,m,urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),150-200
r07261,30,m,urban,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),above 4,quality,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r07262,24,m,urban,student,none,0-2 times,newcomer,small (250 ml),0 to 1,availability,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r07263,32,m,metro,working professional,<10l,0-2 times,newcomer,small (250 ml),2 to 4,availability,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r07264,21,f,semi-urban,working professional,10l - 15l,3-4 times,newcomer,small (250 ml),2 to 4,availability,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r07265,45,m,metro,working professional,26l - 35l,0-2 times,established,medium (500 ml),0 to 1,brand reputation,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07266,39,m,urban,working professional,16l - 25l,5-7 times,newcomer,large (1 l),0 to 1,brand reputation,traditional,online,premium,low (not very concerned),social (eg. parties),150-200
r07267,31,m,urban,entrepreneur,16l - 25l,0-2 times,established,large (1 l),above 4,brand reputation,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07268,18,f,metro,entrepreneur,<10l,0-2 times,newcomer,small (250 ml),2 to 4,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r07269,31,m,rural,working professional,26l - 35l,0-2 times,newcomer,medium (500 ml),2 to 4,availability,exotic,retail store,simple,low (not very concerned),casual (eg. at home),150-200
r07270,31,m,metro,working professional,16l - 25l,5-7 times,established,small (250 ml),0 to 1,brand reputation,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r07271,22,m,urban,working professional,<10l,5-7 times,newcomer,large (1 l),2 to 4,price,traditional,retail store,simple,high (very health-conscious),social (eg. parties),200-250
r07272,24,f,rural,student,none,5-7 times,established,small (250 ml),2 to 4,price,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r07273,40,f,urban,entrepreneur,> 35l,0-2 times,established,small (250 ml),2 to 4,brand reputation,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r07274,19,f,urban,student,none,3-4 times,established,large (1 l),0 to 1,availability,traditional,online,eco-friendly,high (very health-conscious),social (eg. parties),100-150
r07275,40,m,semi-urban,working professional,> 35l,0-2 times,established,small (250 ml),0 to 1,quality,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r07276,19,m,rural,student,none,0-2 times,newcomer,small (250 ml),above 4,price,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07277,23,f,urban,student,none,3-4 times,newcomer,medium (500 ml),above 4,price,exotic,online,simple,low (not very concerned),social (eg. parties),100-150
r07278,35,m,urban,working professional,10l - 15l,0-2 times,established,small (250 ml),above 4,price,traditional,retail store,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r07279,25,m,semi-urban,student,none,5-7 times,established,small (250 ml),2 to 4,price,exotic,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r07280,21,m,urban,student,none,3-4 times,established,large (1 l),2 to 4,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r07281,41,f,urban,entrepreneur,> 35l,0-2 times,newcomer,small (250 ml),2 to 4,availability,traditional,retail store,premium,low (not very concerned),social (eg. parties),200-250
r07282,36,f,urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,availability,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r07283,44,m,metro,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,price,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r07284,32,f,semi-urban,working professional,> 35l,3-4 times,established,medium (500 ml),0 to 1,brand reputation,exotic,online,eco-friendly,high (very health-conscious),social (eg. parties),200-250
r07285,68,m,metro,retired,<10l,3-4 times,established,large (1 l),0 to 1,price,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r07286,36,f,urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),above 4,availability,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r07287,40,m,semi-urban,entrepreneur,26l - 35l,3-4 times,established,small (250 ml),0 to 1,quality,traditional,retail store,eco-friendly,high (very health-conscious),social (eg. parties),200-250
r07288,22,m,semi-urban,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,availability,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),50-100
r07289,35,f,metro,working professional,<10l,3-4 times,established,large (1 l),0 to 1,availability,traditional,online,simple,low (not very concerned),social (eg. parties),100-150
r07290,19,m,metro,working professional,10l - 15l,3-4 times,newcomer,large (1 l),2 to 4,availability,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r07291,35,m,metro,working professional,16l - 25l,0-2 times,established,small (250 ml),above 4,quality,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r07292,51,f,urban,working professional,> 35l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,high (very health-conscious),casual (eg. at home),200-250
r07293,25,m,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r07294,27,f,urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r07295,37,f,semi-urban,working professional,26l - 35l,5-7 times,newcomer,small (250 ml),0 to 1,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r07296,44,f,urban,entrepreneur,16l - 25l,5-7 times,newcomer,medium (500 ml),0 to 1,quality,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r07297,39,f,metro,working professional,<10l,3-4 times,newcomer,large (1 l),2 to 4,price,exotic,online,simple,low (not very concerned),social (eg. parties),150-200
r07298,35,f,urban,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r07299,39,f,urban,entrepreneur,16l - 25l,5-7 times,newcomer,small (250 ml),above 4,brand reputation,traditional,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07300,39,f,urban,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),above 4,quality,exotic,online,premium,high (very health-conscious),social (eg. parties),200-250
r07301,35,f,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,exotic,retail store,premium,high (very health-conscious),social (eg. parties),150-200
r07302,64,f,semi-urban,retired,10l - 15l,5-7 times,established,small (250 ml),0 to 1,availability,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),100-150
r07303,54,m,rural,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),150-200
r07304,18,f,metro,student,none,0-2 times,newcomer,small (250 ml),2 to 4,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07305,42,f,metro,working professional,26l - 35l,5-7 times,established,large (1 l),2 to 4,quality,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r07306,40,f,semi-urban,working professional,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,quality,exotic,online,simple,high (very health-conscious),casual (eg. at home),200-250
r07307,21,f,semi-urban,student,none,0-2 times,established,small (250 ml),above 4,price,exotic,retail store,premium,low (not very concerned),casual (eg. at home),50-100
r07308,26,m,urban,entrepreneur,26l - 35l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r07309,45,m,urban,working professional,<10l,0-2 times,newcomer,large (1 l),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r07310,18,m,rural,student,none,0-2 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,simple,low (not very concerned),casual (eg. at home),50-100
r07311,21,m,urban,student,none,5-7 times,newcomer,medium (500 ml),0 to 1,availability,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r07312,31,m,urban,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r07313,49,m,semi-urban,working professional,16l - 25l,3-4 times,newcomer,small (250 ml),above 4,price,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r07314,30,f,semi-urban,entrepreneur,26l - 35l,3-4 times,established,large (1 l),2 to 4,quality,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r07315,30,m,metro,working professional,10l - 15l,5-7 times,established,medium (500 ml),2 to 4,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r07316,24,f,semi-urban,student,none,3-4 times,newcomer,small (250 ml),0 to 1,price,exotic,retail store,premium,low (not very concerned),social (eg. parties),50-100
r07317,27,f,urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),above 4,availability,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r07318,19,m,urban,student,none,5-7 times,established,medium (500 ml),above 4,price,traditional,online,simple,low (not very concerned),casual (eg. at home),100-150
r07319,26,f,urban,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r07320,32,f,urban,working professional,16l - 25l,3-4 times,newcomer,large (1 l),2 to 4,availability,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r07321,22,m,semi-urban,working professional,<10l,5-7 times,established,small (250 ml),above 4,price,traditional,retail store,premium,medium (moderately health-conscious),social (eg. parties),150-200
r07322,41,f,urban,entrepreneur,10l - 15l,3-4 times,established,small (250 ml),2 to 4,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r07323,28,f,urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,quality,exotic,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r07324,20,m,semi-urban,working professional,16l - 25l,5-7 times,newcomer,small (250 ml),above 4,price,exotic,online,simple,low (not very concerned),social (eg. parties),150-200
r07325,21,f,rural,student,none,3-4 times,established,large (1 l),0 to 1,price,traditional,retail store,eco-friendly,high (very health-conscious),social (eg. parties),100-150
r07326,41,f,metro,entrepreneur,> 35l,0-2 times,established,small (250 ml),2 to 4,brand reputation,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r07327,20,f,semi-urban,student,none,3-4 times,newcomer,medium (500 ml),2 to 4,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),50-100
r07328,19,m,rural,student,none,3-4 times,established,medium (500 ml),2 to 4,price,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r07329,29,f,metro,working professional,<10l,5-7 times,newcomer,large (1 l),2 to 4,availability,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r07330,18,m,metro,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",100-150
r07331,29,m,metro,working professional,26l - 35l,3-4 times,established,medium (500 ml),0 to 1,quality,exotic,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),200-250
r07332,48,m,urban,entrepreneur,10l - 15l,5-7 times,newcomer,large (1 l),2 to 4,price,exotic,retail store,eco-friendly,low (not very concerned),casual (eg. at home),200-250
r07333,28,m,urban,entrepreneur,10l - 15l,5-7 times,newcomer,small (250 ml),above 4,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07334,48,f,rural,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),above 4,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07335,35,f,metro,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,price,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r07336,54,f,urban,entrepreneur,16l - 25l,5-7 times,established,large (1 l),above 4,brand reputation,exotic,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r07337,45,m,semi-urban,working professional,26l - 35l,5-7 times,established,medium (500 ml),0 to 1,brand reputation,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r07338,44,m,semi-urban,working professional,<10l,5-7 times,newcomer,large (1 l),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r07339,47,f,metro,working professional,10l - 15l,3-4 times,newcomer,large (1 l),above 4,price,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r07340,38,f,metro,working professional,10l - 15l,3-4 times,established,small (250 ml),above 4,price,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r07341,34,m,rural,working professional,26l - 35l,3-4 times,established,small (250 ml),2 to 4,quality,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07342,27,f,urban,entrepreneur,<10l,5-7 times,established,large (1 l),2 to 4,availability,traditional,online,premium,low (not very concerned),social (eg. parties),150-200
r07343,19,m,metro,student,none,5-7 times,established,large (1 l),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r07344,54,m,semi-urban,working professional,26l - 35l,0-2 times,established,large (1 l),2 to 4,brand reputation,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r07345,24,m,urban,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,availability,traditional,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),100-150
r07346,32,f,semi-urban,working professional,<10l,5-7 times,established,small (250 ml),0 to 1,price,exotic,retail store,premium,high (very health-conscious),social (eg. parties),150-200
r07347,43,f,urban,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,simple,high (very health-conscious),casual (eg. at home),200-250
r07348,35,f,metro,working professional,10l - 15l,0-2 times,newcomer,large (1 l),2 to 4,availability,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r07349,20,f,urban,student,none,3-4 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,premium,low (not very concerned),"active (eg. sports, gym)",50-100
r07350,39,f,metro,working professional,26l - 35l,0-2 times,newcomer,medium (500 ml),0 to 1,quality,exotic,online,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r07351,27,m,semi-urban,working professional,16l - 25l,3-4 times,established,small (250 ml),0 to 1,brand reputation,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r07352,30,f,urban,working professional,26l - 35l,0-2 times,newcomer,small (250 ml),2 to 4,brand reputation,exotic,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r07353,24,m,urban,working professional,<10l,0-2 times,newcomer,medium (500 ml),above 4,price,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r07354,25,f,urban,working professional,10l - 15l,3-4 times,established,large (1 l),2 to 4,price,traditional,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r07355,28,f,urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),2 to 4,quality,exotic,retail store,premium,low (not very concerned),social (eg. parties),200-250
r07356,33,f,metro,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),above 4,quality,traditional,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),200-250
r07357,31,m,metro,working professional,<10l,5-7 times,established,small (250 ml),2 to 4,availability,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r07358,24,f,metro,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,high (very health-conscious),casual (eg. at home),150-200
r07359,29,m,urban,working professional,10l - 15l,0-2 times,newcomer,medium (500 ml),2 to 4,price,traditional,retail store,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r07360,34,m,urban,working professional,16l - 25l,3-4 times,newcomer,small (250 ml),above 4,availability,traditional,retail store,premium,high (very health-conscious),casual (eg. at home),200-250
r07361,21,f,metro,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07362,24,m,semi-urban,working professional,<10l,5-7 times,newcomer,small (250 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),150-200
r07363,45,m,urban,entrepreneur,16l - 25l,3-4 times,established,medium (500 ml),above 4,quality,traditional,online,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r07364,28,f,metro,working professional,<10l,5-7 times,established,small (250 ml),0 to 1,price,traditional,retail store,premium,high (very health-conscious),social (eg. parties),150-200
r07365,24,f,urban,student,none,3-4 times,established,large (1 l),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07366,28,f,metro,entrepreneur,10l - 15l,3-4 times,established,large (1 l),above 4,price,traditional,retail store,premium,medium (moderately health-conscious),social (eg. parties),150-200
r07367,33,m,semi-urban,working professional,26l - 35l,0-2 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),social (eg. parties),150-200
r07368,33,f,urban,working professional,26l - 35l,5-7 times,newcomer,large (1 l),above 4,quality,traditional,online,simple,low (not very concerned),casual (eg. at home),200-250
r07369,20,m,metro,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07370,40,m,urban,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r07371,31,f,urban,entrepreneur,10l - 15l,0-2 times,established,small (250 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r07372,29,f,urban,working professional,26l - 35l,5-7 times,established,medium (500 ml),above 4,quality,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r07373,54,f,metro,working professional,10l - 15l,5-7 times,established,small (250 ml),0 to 1,price,exotic,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r07374,23,f,metro,entrepreneur,26l - 35l,5-7 times,established,large (1 l),above 4,quality,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r07375,43,m,urban,working professional,10l - 15l,3-4 times,newcomer,large (1 l),above 4,availability,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r07376,38,m,metro,working professional,> 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r07377,38,m,urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,brand reputation,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r07378,27,f,urban,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),0 to 1,availability,traditional,online,premium,low (not very concerned),casual (eg. at home),100-150
r07379,28,m,metro,student,none,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,high (very health-conscious),social (eg. parties),100-150
r07380,28,m,urban,entrepreneur,26l - 35l,5-7 times,established,large (1 l),2 to 4,quality,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r07381,50,f,urban,working professional,> 35l,0-2 times,established,small (250 ml),2 to 4,quality,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r07382,23,f,metro,working professional,10l - 15l,0-2 times,newcomer,medium (500 ml),above 4,availability,exotic,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r07383,26,f,semi-urban,entrepreneur,26l - 35l,3-4 times,established,large (1 l),0 to 1,quality,exotic,retail store,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r07384,32,f,rural,working professional,16l - 25l,0-2 times,established,large (1 l),above 4,quality,exotic,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r07385,40,f,urban,working professional,16l - 25l,3-4 times,newcomer,large (1 l),2 to 4,price,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
